Water Source Type,Contaminant Level (ppm),pH Level,Turbidity (NTU),Dissolved Oxygen (mg/L),Nitrate Level (mg/L),Lead Concentration (µg/L),Bacteria Count (CFU/mL),Water Treatment Method,Access to Clean Water (% of Population),"Diarrheal Cases per 100,000 people","Cholera Cases per 100,000 people","Typhoid Cases per 100,000 people"
River,0.97,6.08,4.99,7.88,6.17,2.22,768,None,59.31,291,5,84
Tap,9.52,8.42,2.83,9.56,19.27,16.27,234,Boiling,86.89,376,40,80
Spring,7.91,8.47,0.22,4.66,17.27,14.87,2760,Boiling,75.38,358,9,64
Well,3.74,7.37,3.98,4.33,29.6,17.52,4592,None,95.34,65,8,27
Lake,5.63,6.18,1.98,7.27,42.81,2.38,1519,Filtration,73.78,118,49,53
Pond,0.47,7.35,0.77,7.16,18.77,15.21,1903,Filtration,70.69,233,40,1
Well,0.41,8.23,4.31,6.57,35.49,13.1,2234,Chlorination,75.7,461,49,80
River,2.51,7.7,0.99,3.03,40.59,4.65,935,Boiling,85.05,7,40,13
Pond,6.9,7.8,4.6,6.89,10.59,19.48,1268,Chlorination,92.92,194,4,13
Well,8.52,6.21,2.21,9.53,45.08,11.41,818,None,48.68,226,44,43
Well,5.59,6.27,3.71,5.34,3.52,18.14,3567,Chlorination,44.06,26,43,81
Well,5.32,6.32,2.73,9.77,45.09,17.18,4117,None,32.4,289,40,39
Well,4.02,8.26,1.28,5.5,8.18,6.66,2115,Filtration,55.91,27,18,33
Pond,1.62,7.31,3.36,3.98,16.86,10.72,2439,None,89.23,158,19,64
River,1.18,7.98,4.79,5.79,30.26,8.63,3387,None,34.89,144,32,17
Spring,7.61,6.29,3.85,6.46,45.28,14.18,1088,Chlorination,67.7,466,42,33
Tap,9.28,8.32,3.02,7.41,12.79,11.76,1827,Boiling,78.64,233,36,86
Lake,4.58,8.05,4.95,6.53,38.18,15.7,4824,Chlorination,88.58,107,30,48
Tap,6.59,6.56,1.33,6.76,35.52,0.24,2588,Filtration,70.84,378,38,79
Tap,9.14,8.19,0.31,3.17,7.99,13.76,2615,Filtration,43.04,438,12,82
Lake,0.9,6.66,0.16,4.78,23.97,6.38,1873,Filtration,97.52,202,37,54
Pond,7.7,6.51,3.55,5.17,24.08,4.48,4307,Boiling,36.63,264,44,61
River,6.17,6.66,4.15,9.91,15.23,16.02,1773,Chlorination,83.83,477,5,69
Lake,5.99,8.27,3.18,5.07,39,1.78,199,None,36.06,312,46,23
River,2.93,8.29,4.53,9.28,46.3,4.57,177,None,40.04,300,7,80
Pond,6.84,6.82,3.49,5.13,35.83,4.07,930,Boiling,92.88,389,42,47
Tap,7.95,7.76,1.85,3.67,48.65,8.4,3736,Filtration,82.72,397,9,79
River,1.13,7.69,0.91,4.73,2.52,6.45,2036,Boiling,55.59,414,40,38
Pond,5.34,8.02,4.62,4.91,1.86,14.41,1485,None,74.71,437,3,47
Pond,1.01,6.74,0.52,9.85,44.69,13.99,2091,Filtration,62.01,10,13,69
Spring,8.73,7.28,2.71,7.72,44.89,6.51,4263,Boiling,34.66,324,3,79
Lake,5.08,7.67,1.57,9.52,5.36,8.74,2384,None,80.48,94,23,8
Spring,8.08,6.07,1.36,8.84,17.87,4.16,4088,None,83.43,129,46,28
Tap,3.68,6.94,3.23,7.05,41.77,13.42,4681,Boiling,91.76,102,20,67
Lake,1.25,7.74,1.16,7.73,6.43,7.92,1915,None,67.84,272,9,59
Tap,0.41,6.63,4.58,7.37,13.37,2.66,15,Chlorination,77.12,485,45,25
Spring,2.82,8.39,2.03,7.66,34.05,2.55,2934,Chlorination,60.66,109,24,37
Pond,2.44,6.08,3.39,4.85,49.09,6.45,836,Filtration,52.32,291,5,61
Tap,5.6,8.4,3.64,5.86,39.86,14.95,2157,Chlorination,58.82,130,15,25
Lake,0.22,6.54,3.41,7.15,38.87,0.51,1576,Chlorination,93.82,190,43,13
Lake,5.21,6.12,4.52,3.25,17.13,5.16,305,Boiling,41.49,298,27,98
Tap,3.92,6.73,1.16,6.38,33.07,3.25,2053,Filtration,47.39,92,35,48
Lake,5.77,7.97,0.43,9.02,5.65,19.13,2890,Boiling,72.43,288,32,42
Pond,7.02,7.88,0.28,6.45,49.61,14.11,3344,Boiling,38.14,205,29,87
Pond,6.34,6.52,4.39,6.87,24.03,4.66,4456,Chlorination,92.43,357,35,7
Lake,9.85,6.49,4.87,4.41,31.94,4.15,1208,Chlorination,33.31,28,24,39
Tap,1.38,7.61,1.51,8.56,43.81,17.16,1858,None,82.87,406,12,24
Spring,4.3,7.15,3.47,5.51,0.05,3.8,2703,None,56.16,186,38,62
Lake,4.25,7.98,0.04,9.7,48.8,19.94,1971,Filtration,33.58,336,14,3
Lake,4.17,6.06,0.94,9.96,17.96,5.65,1113,Chlorination,89,176,37,14
Lake,6.64,7.53,3.45,9.41,16.98,1.69,983,None,74.83,438,29,15
Lake,4.9,7.83,0.33,3.59,7.25,13.82,3310,Boiling,30.62,330,13,53
Tap,5.17,8.48,2.34,5.33,42.91,12.19,4001,Chlorination,48.73,155,49,10
Spring,4.32,7.7,3.31,9.62,43.54,20,2771,Filtration,54.64,245,3,27
Spring,9.92,6.58,3.83,8.63,1,16.04,3152,Filtration,52.58,198,0,6
River,9.28,6.27,2.27,9.38,2.79,8.58,2162,Boiling,64.88,108,2,37
Lake,3.08,7.6,3.15,7.01,45.92,13.53,2127,None,66.88,359,44,23
Lake,1.12,7.31,2.7,6.36,6.14,16.36,3639,Boiling,57.77,71,49,94
River,8.4,8.25,0.26,3.75,31.05,10.27,4274,None,53.22,488,35,67
Spring,9.97,7.82,3.71,8.88,30.98,5.46,560,Chlorination,65.31,220,3,36
Well,2.93,7.27,0.86,8.22,43.49,4.2,1809,Filtration,32.35,280,42,34
Pond,3.58,7.01,0.16,3.41,28.63,5.91,4387,None,75.16,390,13,5
Well,9.42,7.01,2.26,4.47,21.7,16.96,2932,Boiling,72.42,376,24,32
Spring,7.11,6.57,4.33,6.9,48.72,7.61,290,Chlorination,49.55,213,38,95
Lake,2.96,6.04,0.75,7.79,11.44,5.73,4637,None,42.57,456,2,98
Well,5.81,7.44,0.06,3.96,13.14,16.12,1909,Chlorination,35.11,74,6,80
Tap,9.44,6.53,0.55,4.71,4.24,0.64,4689,Chlorination,71.11,417,7,53
Tap,8.12,6.52,1.82,4.35,48.77,11.88,1428,Boiling,69.82,474,43,95
River,7.42,6.31,2.9,4.54,35.32,17.47,947,Boiling,67.33,241,6,13
Spring,7.37,6.47,0.97,9.44,0.6,8.2,2527,Chlorination,98.99,149,47,18
Spring,1.78,6.08,4.01,8.01,35.22,5.39,1348,Chlorination,67.21,322,24,87
Well,8.25,7.69,3.77,8.16,20.21,9.83,380,None,80.53,177,16,10
Lake,2.76,7,3.48,8.56,48.38,14.35,1704,Boiling,37.9,175,25,70
Spring,9.3,7.4,2.44,5.5,13.87,10.33,309,None,50.93,103,3,44
Well,3.65,7.59,1.83,8.37,35.51,0.15,3414,Filtration,49.28,118,48,59
Well,8.58,8.43,1.88,9.85,31.37,1.57,1498,None,70.32,199,17,87
Pond,2.66,6.17,2.52,7.89,0.6,14.43,2894,Chlorination,53.16,69,3,57
Pond,5.15,7.04,0.39,5.92,44.26,8,660,Filtration,74.87,56,16,87
Spring,1.07,6.61,3.41,8.01,6.98,15.7,3447,None,78.31,408,46,77
Well,6.6,7.19,1.76,9.31,33.18,12.99,2273,Filtration,32.36,65,16,23
River,8.36,8.3,1.12,3.9,38.78,11.63,1497,Boiling,74.78,399,44,10
River,7.18,7.81,1.39,4.86,31.55,18.03,2072,None,38.18,57,24,71
Pond,5.23,7.65,0.9,9.44,4.86,0.43,3436,None,62.56,116,2,43
Spring,0.45,7.1,4.51,9.62,48.76,3.1,2142,Boiling,80.86,424,11,78
Lake,9.33,7.68,0.85,6.39,11.84,12.49,4660,None,79.23,306,26,65
River,7.05,6.08,4.41,5.62,31.39,1.32,1605,Filtration,50.99,20,16,87
River,7.46,7.47,2.86,4.98,39.86,12.9,4739,Boiling,49.07,78,21,44
Pond,7.95,7.38,4.34,6.49,46.96,19.68,1431,Filtration,60.82,311,38,73
Pond,7.48,6.87,2.37,9.54,30.2,17.58,1950,None,43.21,353,38,31
Spring,4.41,6.5,4.64,4.05,12.95,11.82,3922,None,98.23,46,42,16
Pond,7.34,8.02,1.06,5.94,41.83,17.88,458,None,54.14,373,47,53
Tap,6.25,6.13,2.77,9.38,8.16,2.33,2948,None,94.61,170,35,9
Well,8.54,6.17,0.63,5.44,1.11,9.09,337,Filtration,93.58,83,15,85
River,8.02,7.1,2.24,8.38,45.41,8.57,3943,None,55.54,107,36,5
Tap,0.41,6.63,2.85,5.72,28.77,6.73,2013,Boiling,47.79,286,28,90
Lake,3.79,7.86,3.03,8.63,3.48,0,4020,Boiling,83.96,270,13,19
Tap,0.35,7.59,1.83,9.87,28.99,17.82,344,Chlorination,46.06,175,6,0
Spring,1.02,7.93,0.38,5.71,7.25,15.55,4671,Boiling,66.49,317,40,63
Lake,6.01,6.81,3.28,8.92,1.57,13.06,942,Chlorination,37.75,475,27,80
Lake,8.74,7.85,2.44,9.92,5.83,2.58,345,Boiling,57.02,69,12,0
Pond,1.2,8.16,0.68,9.89,38.76,7.56,3894,Boiling,35.47,386,15,60
Tap,4.51,6.86,4.68,6.04,37.78,18.49,3319,None,49.84,165,20,78
Spring,9.11,6.85,4.78,6.4,30.22,12.34,3695,Boiling,76.57,342,3,0
River,8.14,8.25,4.28,5.12,10.47,12.07,324,None,99.39,57,38,80
Pond,5.2,6.12,4.22,5.2,36.95,18.26,2138,None,47.84,450,34,45
Tap,7.72,6.88,0.49,6.45,20.4,11.2,4389,Boiling,63.13,244,14,59
River,5.23,6.3,4.97,4.4,25.54,11.95,3612,Filtration,61.36,44,25,42
Tap,1.58,6.07,2,7.98,44.88,6.91,523,None,42.89,171,45,43
Pond,1.25,6.28,0.82,6.75,22.89,7.43,2897,Boiling,72.7,263,6,37
River,1.88,7.08,4.06,9.29,31.32,13.71,3740,Filtration,80.73,382,17,1
Pond,3.51,7.72,1.13,8.67,48.09,6.41,258,Boiling,40.31,65,24,81
Tap,9.31,6.72,2.63,5.26,22.57,11.18,1110,Boiling,83,326,36,11
Lake,8,8.12,0.64,6.54,28.04,5.58,820,Filtration,79.01,188,20,92
Well,4.33,7.09,2.37,8.25,29.22,3.32,2788,Boiling,43.81,272,7,22
Lake,4.93,8.42,2.79,4.35,12.04,9.09,4664,None,75.43,70,19,8
Pond,2.66,8.39,2.23,3.22,36.85,4.35,4604,Chlorination,57.56,352,17,7
Pond,7.04,7.93,0.35,8.97,36.33,17.97,1563,Chlorination,77.68,35,18,49
Pond,8.03,8.33,2.42,3.96,10.68,6.07,4620,Boiling,64.73,238,2,79
River,2.39,7.77,2.34,9.23,0.67,11.95,1207,Chlorination,33.37,67,37,61
Spring,0.42,8.24,1.31,9.4,49.95,5.27,308,Chlorination,85.09,107,17,22
Pond,6.24,6.59,4.61,6.22,29.08,5.16,1839,Chlorination,68.89,207,26,92
Lake,5.63,6.86,2.09,8.65,9.05,7.01,3352,None,80.74,276,14,58
Well,4.02,7.88,4.32,5.54,14.18,18.32,1383,None,38.83,209,45,9
Pond,6.44,7.06,0.55,9.01,30.89,7.83,2306,Chlorination,80.49,301,20,11
Pond,5.51,8.09,1.59,8.77,6.88,16.43,1180,Filtration,58.96,429,21,61
Pond,2.51,8.19,0.88,3.55,1.86,3.95,2472,Filtration,85.95,347,7,75
River,3.98,6.75,2.04,7.08,39.92,0.96,2686,Filtration,71.94,106,10,29
Pond,4.28,8.06,0.56,7.48,35.79,15.63,2967,None,54.84,379,42,73
Lake,8.8,6.39,2.21,3.01,15.48,10.84,4445,None,44.13,15,11,77
Tap,9.61,6.84,1.77,9.86,2.92,10.07,960,None,87.11,238,47,67
Spring,8.93,7.29,1.12,5.85,24.31,5.44,3456,None,69.21,405,38,46
Pond,7.19,6.57,3.21,6.62,13.81,1.45,437,Chlorination,99.12,389,26,83
River,5.85,7.45,4.75,4.36,19.89,9.66,455,None,56.14,221,34,40
Lake,6.89,7.45,1.04,7.28,13.7,17.34,3817,Chlorination,78,439,1,6
Pond,9.39,6.52,3.56,8.67,8.76,2.4,1569,Filtration,73.6,255,34,93
River,2.5,7.99,3.71,7.1,19.35,18.58,1103,Chlorination,74.63,300,30,87
Tap,5.35,7.58,2.49,8.52,48.24,5.49,1618,Filtration,81.59,441,7,73
Well,6.9,6.79,4.49,8.12,13.31,10.64,3612,None,39.74,411,19,51
Pond,6.79,6.58,4.83,4.66,16.8,1.33,1512,Filtration,68.48,144,7,44
Lake,2.52,8.2,1.81,6.05,16.46,8.5,4738,Filtration,65.64,163,3,37
River,5.87,8.09,3.26,4.04,24.01,2.52,391,Chlorination,53.98,11,30,35
River,7.96,6.57,3.31,3.29,42.18,0.96,2621,Filtration,60.53,49,31,80
Pond,4.75,6.09,2.02,3.44,20.11,19.33,920,Boiling,66.32,314,12,84
River,7.93,8.01,1.58,9.6,40.31,14.6,2457,Filtration,52.46,359,21,57
Well,3.6,7.54,4.67,9.89,5.75,14.38,3600,None,50.52,11,25,45
River,9.39,6.25,3.95,3.66,44.75,1.81,4508,Filtration,81.68,483,16,66
Spring,5.34,7.47,0.57,5.35,9.27,18.59,1788,Boiling,34.68,189,28,64
Spring,5.96,7.13,0.6,3.8,1.96,9.39,260,Chlorination,51.91,295,26,17
River,0.31,7.94,4.61,8.84,7.92,17.05,2013,Filtration,75.76,92,21,1
Pond,1.7,6.52,0.41,6.47,9.54,0.25,1335,Boiling,44.61,129,17,3
Spring,6.33,7.13,3.44,7.35,25.43,5.96,334,None,70.06,348,4,95
Lake,4.2,6.39,1.13,6.78,22.5,19.92,2779,None,51.15,477,11,82
Spring,5.08,8.39,0.18,7.97,35.79,8.56,803,Chlorination,89.03,483,1,83
River,0.63,7.95,0.3,5.23,2.55,17.77,2437,None,54.5,363,41,41
Pond,8.34,7.84,1.87,3.96,24.89,6.56,2807,Boiling,46.07,408,6,48
Tap,7.85,7.73,0.39,3.12,16.62,10.51,940,Filtration,67.11,340,46,48
Pond,1.85,7.06,2.98,6.12,31.54,17.08,3163,Boiling,39.5,213,25,6
Pond,6.34,8.31,3.24,9.35,2.18,12.12,902,Chlorination,85.82,329,38,8
Pond,8.18,6.18,1.87,5.14,1.75,14.5,3432,Filtration,77.6,382,14,70
Lake,6.41,8.01,3.71,4.37,21.36,4.58,1268,Boiling,83.94,286,47,26
Well,3.1,6.54,2.45,9.48,40.57,3.12,23,Chlorination,57.92,174,32,20
River,6.56,6.81,2.15,3.74,33.55,4.61,4652,Chlorination,88.45,443,46,34
Well,2.1,7.3,2.03,3.36,0.84,9.86,2748,Filtration,64.55,200,2,87
Tap,3.18,7.96,2.16,9.16,8.92,16.02,2450,Filtration,36.63,104,41,95
Well,2.4,8.1,4.84,7.91,11.34,7.08,1396,None,45.68,230,47,75
River,5.57,7.46,3.41,5.95,21.15,11.3,3357,None,79.77,97,1,86
River,1.08,7.01,1.58,8.27,29.34,16.1,3904,Filtration,92.75,102,16,35
Tap,9.33,8.37,3.67,8.19,10.82,4.78,2488,None,36.66,40,0,92
River,3.34,6.62,1.65,3.28,19.13,17.66,3666,Filtration,90.5,433,35,66
Tap,2.19,8.01,0.63,7.73,29.2,19.06,1757,None,85.93,150,42,42
Tap,4.97,7.53,2.38,7.49,19.17,0.78,4977,Boiling,54.96,267,16,7
River,2.77,6.94,3.76,9.75,7.16,1.18,1878,Chlorination,78.25,326,1,97
Spring,5.35,6,1.89,9.77,24.58,1.82,2532,Filtration,43.09,351,32,77
Tap,3.49,7.12,4.35,5.64,16.2,15.54,3514,Filtration,86.94,466,28,35
River,1.32,6.69,1.93,7.13,43.21,3.79,3773,Filtration,76.01,277,5,47
Spring,2.66,6.26,1.75,3.99,38.78,14.51,2078,Boiling,60.72,55,42,45
Tap,4.38,6.19,4.99,3.47,9.51,8.83,4661,Chlorination,90.52,15,35,31
Spring,0.3,6.87,2.41,6.03,7.63,16.73,2057,None,39.75,441,23,6
Lake,7.71,7.54,4.03,7.83,17.38,16.17,677,None,89.2,455,10,73
Pond,6.22,8.09,4.02,6.97,20.61,19.19,4946,Chlorination,31.67,221,4,11
Lake,6.01,6.46,4.63,6.01,46.6,5.02,2974,None,82.72,178,29,54
Spring,5.46,7.06,0.42,8.73,15.08,4.58,284,Filtration,70.14,133,9,22
Tap,5.9,6.98,1.36,8.56,43.38,0.63,2200,Chlorination,78.77,257,36,74
River,9.35,7.28,3.84,8.12,25.27,8.21,4466,Boiling,58.86,61,26,51
Well,0.09,8.02,2.81,3.54,44.28,9.18,1840,Chlorination,90.51,481,26,12
River,0.48,7.38,2.8,8.58,35.1,19.29,1878,Filtration,51.92,476,23,75
Well,1.91,8.12,0.83,9.44,35.42,16.62,1610,Chlorination,49.25,487,2,70
Well,1.67,7.3,1.41,3.42,25.94,3.34,3962,Boiling,51.12,122,37,52
Tap,1.81,7.51,2.61,5.81,42.02,15.97,4236,Boiling,84.21,41,25,62
Spring,6.72,7.09,1.39,9.92,12.72,3.57,3159,Chlorination,64.67,372,44,73
River,4.59,8.06,1.05,7.19,45.37,1.56,3498,Chlorination,67.6,372,47,70
Spring,9.92,8.31,0.44,6.6,31.84,16.74,2131,None,88.22,298,38,50
Lake,2.27,7.6,0.78,4.24,21.94,19.52,3314,None,88.34,51,17,57
Tap,3.11,8.05,3.84,6.96,49.11,1.76,1378,Filtration,41.32,378,2,26
Tap,9.84,6.15,3.59,6.07,43.1,16.28,3077,None,68.48,441,37,6
Lake,8.32,8.27,0.23,3.89,38.6,17.18,3014,Filtration,38.82,403,41,49
River,4.7,6.47,1.02,6.25,13.7,2.38,3892,Filtration,90.8,311,47,23
Pond,5.55,6.64,2.8,4.15,48.69,5.67,1715,Chlorination,88.59,66,24,86
Lake,8.43,6.13,1.61,8.11,37.15,14.67,452,None,89.45,58,12,24
River,4.81,8.41,4.12,9.82,30.26,16.15,341,Boiling,79.34,303,24,43
Well,2.06,8.13,3.92,6.29,46.09,7.08,392,Boiling,62.68,34,23,35
Tap,8.28,8.28,4.46,7.43,8.11,3.2,1269,Chlorination,58.33,135,40,56
River,5.38,8.12,2.81,6.02,6.95,12.97,3050,Boiling,57.67,498,15,96
Spring,1.53,7.2,1.76,3.97,28.19,14.04,4059,Boiling,34.63,75,42,36
Spring,5.06,8.31,3.03,9.79,2.84,10.07,970,Chlorination,96.42,241,40,51
Tap,4.13,8.42,0.45,3.91,33.2,2.9,2205,Boiling,61.52,492,41,62
Lake,8.77,7.26,0.05,3.78,12.04,16.89,4794,Chlorination,95.11,490,10,6
Pond,1.26,6.44,0.09,6.21,5.95,12.91,165,Filtration,91.55,287,20,93
Lake,8.75,7.65,2.04,7.61,20.47,17.38,254,None,88,220,30,59
River,5.12,8.44,1.14,5.48,23.3,18.66,301,Boiling,71.18,300,14,94
Lake,4.04,8.18,0.79,4.35,8.52,16.11,3103,Chlorination,37.11,84,44,36
Tap,1.62,8.15,3.08,8.73,2.08,19.17,3840,Boiling,52.67,122,48,20
River,7.01,8.33,4.98,5.54,20.7,19.09,2556,None,72.25,194,35,97
Well,9.27,8.23,0.89,4.36,37.98,12.39,1505,Boiling,30.94,101,42,45
Lake,3.75,7.94,2.73,5.56,43.71,14.56,1256,Filtration,32.98,282,0,20
Lake,2.42,7.8,0.6,4.5,4.88,13.99,2262,Chlorination,77.44,374,27,83
Pond,5.55,6.66,4.67,6.64,26.23,12.42,4340,None,92.17,2,32,97
River,7.96,7.55,1.46,7.68,13.17,0.39,209,Filtration,89.86,312,2,71
Spring,0.04,7.3,4.39,8.6,18.73,7.12,3793,Boiling,41.77,448,14,95
Lake,6.31,8.15,1.42,4.59,46.67,2,4521,Boiling,93.79,493,32,51
Tap,5.97,7.23,4.03,4.17,17.6,6.01,3047,Boiling,78.74,246,31,93
Lake,3.18,6.32,1.05,3.14,18.27,1.37,980,None,80.14,147,22,28
Pond,4.51,6.01,1.46,4.6,10.47,18.4,2119,Chlorination,51.28,198,25,68
Well,2.47,7.69,0.96,3.17,48,9.03,3745,None,80.12,120,47,93
Pond,7.9,7.37,1.32,5.42,22.82,3.79,177,Filtration,79.68,168,16,75
Lake,6.35,6.83,4.17,4.02,28.52,11.7,1546,Chlorination,71.63,0,8,38
Spring,5.33,6.42,3.2,7.06,22.66,3.93,2034,None,55.01,329,4,26
Lake,3.93,7.17,2.03,5.69,12.65,16.09,298,Boiling,86.77,108,28,76
River,2.91,6.25,4.86,3.66,40.52,6.12,2567,Filtration,95.63,459,5,9
Lake,8.23,6.84,2.32,5.8,1.42,6.3,3566,Boiling,90.89,387,46,35
Spring,4.51,6.95,4.85,4.47,34.51,17.4,4039,None,47.01,326,40,94
River,5.01,7.16,0.98,7.76,29.71,11.18,274,Filtration,61.2,9,34,15
Tap,5.21,7.17,4.52,5.55,7.21,17.75,2995,Chlorination,53.97,469,20,35
River,4.48,6.64,0.07,4.03,8.3,8.26,52,Chlorination,79.52,126,44,89
Pond,2.56,8.13,2.73,5.45,32.96,6.88,1423,None,88.2,472,44,83
Well,1.2,6.89,2.12,4.57,15.61,10.12,1627,None,45.11,156,22,33
Pond,0.99,6.57,2.63,8.57,13.29,1.23,488,Chlorination,96.31,230,34,36
River,7.57,6.44,2.77,9.88,2.96,3.08,2354,Chlorination,77.41,14,45,71
Tap,2.24,6.81,1.95,3.18,38.32,4.39,416,None,45.29,274,1,67
Lake,0.56,6.17,4.99,7.83,44.13,16.33,2556,Chlorination,55.98,486,41,58
River,7.98,6.08,4.88,4.85,40.99,14.68,920,Filtration,37.32,441,8,28
Pond,1.54,7.51,4.81,3.46,23.3,3.87,1553,None,71.79,365,12,30
River,6.25,7.55,4.9,3.1,26.7,5.53,2685,Filtration,41.84,436,42,65
River,3.39,7.32,3.97,9.17,12.11,18.89,665,Boiling,78.52,45,33,88
River,1.26,7.91,4.94,5.48,8.64,1.72,4101,Filtration,81.61,273,15,2
Tap,4.14,6.1,4.46,9.96,41.15,10.95,2469,None,63.55,105,4,68
Spring,0.15,8.34,2.08,6.1,39.92,10.44,1474,Boiling,36.57,2,0,21
Spring,8.41,6.24,3.92,4.31,38.87,14.51,337,Chlorination,72.76,325,39,79
River,5.13,7.69,4.56,8.44,23.17,5.23,3159,Filtration,56.05,252,21,72
Tap,1.39,6.33,3.56,9.49,43.23,18.7,268,Filtration,96.48,21,47,52
Tap,2.37,8.2,2.11,8.71,46.31,8.21,1087,None,65.92,54,45,47
River,4.48,7.28,0.33,8.22,16.42,5.71,1293,Chlorination,35.06,373,25,72
Pond,1.89,6.21,4.05,5.34,11.23,6.74,656,None,74.52,447,33,75
Pond,2.69,7.54,4.76,3.45,23.21,6.97,2828,Chlorination,84.55,296,49,46
Well,5.34,6.02,1.81,4.41,8.97,3.98,3973,None,41.24,109,20,41
River,8.33,7.94,0.76,6.13,44.2,18.56,4957,Chlorination,61.43,372,6,3
Well,4.02,7.63,1.63,9.69,16.9,3.5,1336,Boiling,82.02,222,24,81
Pond,7.17,6.53,2.91,8.06,28.81,17.66,2356,None,31.43,468,11,81
Pond,8.77,6.94,1.58,8.8,29.74,8.1,1667,Boiling,32.03,247,30,41
River,2.16,6.02,3.05,4.94,25.75,5.39,1825,None,77.38,135,46,42
Well,8.07,7.73,4.83,7.79,7.83,3.97,4030,None,80.76,320,26,96
Well,7.57,6.81,3.35,9.04,49.55,10.09,1212,None,89.21,386,21,41
River,3.57,7.43,1.81,6.36,8.63,13.39,2768,Filtration,57.97,412,33,2
Well,9.9,8.39,4.68,6.01,37.58,17.96,4415,None,57.28,245,16,58
Lake,2.63,6.75,2.83,8.04,39.57,13.05,3058,Chlorination,68.67,69,10,80
Pond,2.55,8.48,0.64,6.92,7.26,9.67,444,Filtration,83.01,480,28,75
Spring,7.72,7.58,2.49,9.95,46.66,0.67,1397,Chlorination,74.87,17,33,10
Tap,4.35,6.61,3.27,5.98,24.39,18.31,4381,Chlorination,52.91,489,36,80
Well,3.31,7.09,4.19,4.23,31.44,18.05,2218,Chlorination,54.26,496,48,34
Well,1.79,7.85,4.68,6.3,32.11,7.57,3676,Chlorination,83.41,185,47,49
Tap,7.65,7.12,1.59,4.65,25.25,0.58,2310,Chlorination,67.43,116,25,62
Well,7.86,6.17,0.78,6.93,7.1,14.67,4040,Boiling,36.86,256,44,69
Tap,5.67,6.42,0.37,3.88,37.59,15.83,3606,Filtration,40.71,277,44,98
River,9.57,7.98,3.69,9.65,29.09,10.85,1827,Chlorination,89.58,94,44,5
Lake,3.18,7.62,3.98,9.02,5.93,8.06,3219,Boiling,99.92,406,31,31
Lake,2.2,7.42,2.05,4.09,35.02,17.02,4688,Boiling,53.5,391,36,10
Pond,6.77,6.42,1.98,4.21,35.14,3.85,4511,Chlorination,57.07,412,4,42
Spring,7.58,8.09,4.77,6.59,27.42,8.79,2072,None,40.81,427,19,38
Well,2.25,8.4,4.58,8.41,4.53,0.49,4189,Chlorination,46.5,114,6,12
Spring,0.77,6.1,1.17,4.53,17.63,3.28,2330,Boiling,59.72,493,42,12
River,8.11,6.2,3.9,3.43,2.55,18.82,685,Chlorination,49.91,61,22,38
Lake,9.77,8.21,3.11,6.82,23.88,11.56,4958,Boiling,79.1,274,0,45
River,6.45,8.04,0.77,7.84,45.32,16.11,684,Chlorination,67.65,314,38,33
River,2.78,7.54,1.78,4.71,0.11,9.73,2937,Boiling,87.56,496,2,66
Well,9.97,8.36,0.89,8.18,13.33,16.7,3711,Chlorination,80.72,123,44,31
River,8.93,7.62,1.48,9.65,39.99,10.78,340,None,38.97,79,2,67
Lake,5.13,6.54,3.08,3.96,0.49,0.09,4699,None,38.64,146,5,64
Spring,8.25,7.82,1.88,6.58,0.51,17.99,733,Boiling,92.7,484,30,72
Lake,8.16,7.61,1.97,3.4,30.54,2.97,1496,None,87.37,21,26,6
Well,9.35,8.46,2.7,4.45,39.46,9.01,3893,None,62.75,82,28,90
Lake,8.41,6.53,0.44,3.63,38.83,9.53,2954,Filtration,39.13,323,14,2
Tap,6.44,7.49,3.69,5.83,38.98,0.94,1131,Chlorination,92.9,4,35,85
Spring,6.09,7.95,2.01,8.75,18.05,1.06,4635,Chlorination,46.15,260,4,79
Tap,4.67,6.85,2.4,7.04,44.14,15.25,1732,None,32.49,408,2,71
Tap,6.26,6.95,4.87,4.56,0.64,6.01,3035,None,94.7,279,24,68
Pond,7.95,8.22,1.72,3.28,15.61,8.19,2713,Boiling,86.63,128,31,48
Well,9.69,7.01,3.24,6.87,16.86,11.28,2479,Chlorination,78.54,113,20,57
River,4.67,7.56,1.96,3.93,8.28,7.47,1419,Filtration,32.38,283,47,93
Tap,5.74,8.22,4.47,5.4,16.81,15.5,1989,Filtration,66.99,46,16,27
Lake,4.45,6.52,4.23,6.57,29.29,17.69,4710,None,75.75,340,8,26
River,6.68,8.45,1.21,9.33,26.01,1.19,487,Boiling,83.15,187,25,21
Lake,6.3,7.75,3.46,3.57,15.97,12.71,3819,Boiling,62.98,18,21,93
Lake,0.18,7.24,0.33,7.68,37.47,6.35,1441,Chlorination,96.73,86,40,70
River,5.41,7.08,4.82,3.1,35.74,11.67,2390,None,47.13,141,45,93
River,0.88,8.39,1.74,7.41,14.03,9.68,1384,None,34.88,250,22,12
Lake,0.26,6.51,4.16,6.86,16.16,6.67,2156,Boiling,53.29,325,10,21
Well,7.91,6.78,1.59,8.68,14.38,1.9,4944,Filtration,76.33,479,9,74
Spring,2.59,6.77,3.16,6.72,6.44,11.19,4396,Filtration,81.6,369,22,4
Pond,3.41,6.72,4.92,5.47,37.64,2.26,1391,Chlorination,81.69,479,4,21
Spring,0.64,7.17,4.38,4.7,2.31,3.12,4800,None,37.75,7,25,78
